Date,Open,High,Low,Close,Vol
5/4/2012,47632000,47053000,47772000,47053000,108080
5/7/2012,48631000,48195000,48631000,48105000,100550
5/8/2012,48807000,48860000,49244000,48625000,133180
5/9/2012,48762000,48819000,49049000,48533000,113920
5/10/2012,48607000,49003000,49135000,48268000,134650
5/11/2012,48010000,48768000,48813000,47987000,114300
5/14/2012,46969000,47773000,48315000,46969000,110420
5/15/2012,45565000,46297000,46763000,45547000,97220
5/16/2012,44991000,45575000,45857000,44638000,86460
5/17/2012,44258000,44977000,45372000,44258000,77750
5/18/2012,43495000,43969000,44024000,43029000,80360
5/21/2012,44802000,43853000,44819000,43772000,77330
5/22/2012,44794000,45132000,45370000,44684000,84440
5/23/2012,43675000,44360000,44620000,43675000,66020
5/24/2012,42692000,43139000,43559000,42565000,58040
5/25/2012,43738000,43262000,43842000,43101000,77820
5/28/2012,43548000,44324000,44324000,43342000,66810
5/29/2012,43144000,43175000,43291000,42911000,47680
5/30/2012,43534000,43329000,43731000,43239000,49050
5/31/2012,42920000,43184000,43394000,42852000,48180
6/1/2012,42880000,43075000,43227000,42798000,72180
6/4/2012,41665000,42691000,42758000,41665000,143320
6/5/2012,42102000,41396000,42102000,41358000,101790
6/6/2012,42639000,42109000,42717000,42081000,91500
6/7/2012,43441000,43114000,43668000,42861000,71300
6/8/2012,43290000,43902000,44146000,43290000,82630
6/11/2012,43250000,43215000,43586000,43028000,68130
6/12/2012,42816000,43289000,43289000,42804000,57130
6/13/2012,42761000,42973000,42973000,42486000,84090
6/14/2012,42528000,42574000,42859000,42405000,46930
6/15/2012,43309000,42562000,43309000,42562000,72650
6/18/2012,43559000,43689000,43929000,43375000,59250
6/19/2012,43108000,43404000,43511000,43023000,68590
6/20/2012,43289000,43180000,43416000,42920000,34000
6/21/2012,43114000,43227000,43349000,43083000,43840
6/22/2012,42717000,42995000,43019000,42650000,51730
6/25/2012,42412000,42654000,42981000,42295000,62790
6/26/2012,41919000,42117000,42176000,41792000,50520
6/27/2012,41804000,41978000,42217000,41800000,43900
6/28/2012,41816000,41804000,41878000,41534000,42930
6/29/2012,42237000,42076000,42237000,41849000,55760
7/2/2012,41930000,42194000,42495000,41818000,38610
7/3/2012,41309000,41647000,41721000,41186000,43270
7/4/2012,41073000,41341000,41603000,41073000,27630
7/5/2012,41383000,41085000,41383000,40843000,31520
7/6/2012,41544000,41401000,41797000,41353000,43330
7/9/2012,40812000,41359000,41439000,40751000,31970
7/10/2012,40539000,40640000,40986000,40539000,28740
7/11/2012,40728000,40529000,40821000,40507000,22770
7/12/2012,40872000,40650000,40970000,40618000,43560
7/13/2012,41698000,40985000,41698000,40985000,55750
7/16/2012,41398000,41754000,41878000,41328000,41740
7/17/2012,41755000,41172000,41850000,41172000,48140
7/18/2012,41883000,41819000,41991000,41610000,49400
7/19/2012,42838000,41777000,42838000,41777000,84900
7/20/2012,42447000,43210000,43246000,42447000,72950
7/23/2012,42199000,42331000,42613000,42142000,50660
7/24/2012,41563000,42019000,42062000,41460000,44840
7/25/2012,41291000,41294000,41571000,41256000,43520
7/26/2012,41480000,41378000,41663000,41289000,30780
7/27/2012,41316000,41643000,41768000,41247000,38350
7/30/2012,41500000,41057000,41531000,41008000,26690
7/31/2012,41448000,41570000,41657000,41419000,25400
8/1/2012,41255000,41373000,41399000,41054000,27620
8/2/2012,41610000,41423000,41796000,41423000,21900
8/3/2012,41821000,41763000,41926000,41709000,24180
8/6/2012,42316000,41929000,42377000,41929000,44570
8/7/2012,42250000,42372000,42546000,42244000,33160
8/8/2012,42357000,42274000,42452000,42131000,23800
8/9/2012,42698000,42443000,42821000,42443000,43060
8/10/2012,42556000,42749000,42793000,42506000,37450
8/13/2012,42617000,42379000,42638000,42344000,29840
8/14/2012,42947000,42579000,43089000,42579000,50530
8/15/2012,43077000,42996000,43244000,42996000,39640
8/16/2012,43083000,43077000,43363000,42943000,26760
8/17/2012,43345000,43083000,43472000,43083000,37820
8/20/2012,43728000,43533000,43761000,43492000,41500
8/21/2012,41684000,43079000,43079000,41623000,70060
8/22/2012,41023000,40422000,41342000,40417000,74160
