TradingDate;Open;High;Low;Close;Volume
2020-10-02;91409000;91667000;89772000;90991000;52716000
2020-10-05;91377000;91555000;91096000;91468000;45610000
2020-10-06;91811000;91893000;91277000;91567000;49613000
2020-10-07;91362000;92357000;91269000;91972000;52396000
2020-10-08;92208000;92208000;91389000;91884000;47030000
2020-10-09;91948000;92400000;91770000;92400000;38813000
2020-10-12;93078000;93313000;92328000;92583000;45723000
2020-10-13;92676000;93096000;92378000;92986000;35902000
2020-10-14;93189000;94018000;93189000;94018000;47492000
2020-10-15;94528000;94593000;93870000;94276000;47051000
2020-10-16;94403000;94623000;93598000;94330000;44333000
2020-10-19;94501000;94629000;94192000;94369000;38947000
2020-10-20;94100000;94454000;93732000;94442000;44433000
2020-10-21;94716000;94820000;93900000;93903000;41265000
2020-10-22;93806000;94990000;93378000;94990000;36512000
2020-10-23;95345000;96126000;95314000;96126000;45249000
2020-10-26;96752000;97015000;95080000;95080000;42825000
2020-10-27;95080000;95472000;94628000;94647000;45585000
2020-10-28;94282000;94691000;92105000;92105000;45606000
2020-10-29;91649000;92584000;91433000;91908000;43613000
2020-10-30;92541000;92632000;91120000;92547000;31275000
2020-11-02;92609000;93368000;92414000;93368000;29760000
2020-11-03;93673000;93757000;93218000;93541000;31870000
2020-11-04;93541000;94356000;93386000;93976000;35087000
2020-11-05;94032000;94551000;93775000;93775000;30433000
2020-11-06;93973000;94120000;93463000;93829000;26823000
2020-11-09;94215000;95199000;94215000;95199000;39320000
2020-11-10;96268000;96347000;95190000;95190000;45675000
2020-11-11;95446000;95665000;94761000;95222000;37651000
2020-11-12;95397000;95928000;95362000;95928000;34391000
2020-11-13;95956000;96629000;95913000;96629000;45783000
2020-11-16;97011000;97298000;95050000;95079000;51893000
2020-11-17;95552000;96890000;95322000;96890000;40096000
2020-11-18;96948000;97430000;96632000;97353000;47868000
2020-11-19;97532000;98326000;97433000;98326000;50012000
2020-11-20;98471000;99000000;98072000;99000000;50105000
2020-11-23;99187000;99590000;98538000;99419000;48969000
2020-11-24;99655000;99799000;98492000;99576000;55007000
2020-11-25;100039000;100231000;99680000;99994000;47574000
2020-11-26;99924000;100597000;99491000;100597000;49356000
2020-11-27;100668000;101022000;100400000;101022000;44644000
2020-11-30;101182000;101250000;100261000;100308000;53293000
2020-12-01;98871000;100887000;98871000;100887000;58331000
2020-12-02;100877000;101586000;100791000;101432000;68453000
2020-12-03;101673000;102035000;101406000;101980000;51891000
2020-12-04;101980000;102517000;101867000;102149000;55359000
2020-12-07;102434000;103041000;102214000;102998000;52034000
2020-12-08;102998000;103258000;102563000;102926000;52767000
2020-12-09;102926000;103955000;102926000;103913000;58605000
2020-12-10;104165000;104410000;103091000;103091000;62645000
2020-12-11;103319000;104596000;103006000;104596000;46377000
2020-12-14;104897000;106409000;104897000;106409000;58359000
2020-12-15;106202000;106745000;105201000;105527000;67518000
2020-12-16;105834000;106699000;105721000;106699000;59157000
2020-12-17;106585000;106585000;105142000;105177000;66789000
2020-12-18;105575000;106856000;105575000;106746000;62364000
2020-12-21;107162000;108160000;107086000;108108000;71366000
2020-12-22;108185000;108423000;107706000;108345000;75611000
2020-12-23;108789000;109409000;107792000;107890000;81317000
2020-12-24;108383000;108476000;104689000;106752000;75732000
2020-12-25;106883000;108442000;106183000;108442000;65281000
2020-12-28;109437000;109611000;108390000;109133000;72388000
2020-12-29;109049000;110279000;108793000;109949000;67882000
2020-12-30;109978000;110883000;109491000;109754000;67698000
2020-12-31;109825000;110533000;109627000;110387000;52782000
2021-01-04;111377000;112643000;111359000;112047000;76404000
2021-01-05;111696000;113445000;111649000;113255000;76343000
2021-01-06;113912000;115285000;113370000;114321000;79045000
2021-01-07;114726000;115649000;114344000;115649000;76374000
