Date;Open;High;Low;Close;Vol
2011-11-10;40103000;40247000;40247000;39929000;25320
2011-11-11;39630000;39967000;40340000;39630000;37280
2011-11-14;39174000;39752000;39770000;38904000;37100
2011-11-15;38787000;39163000;39346000;38647000;37110
2011-11-16;39089000;38925000;39298000;38851000;33190
2011-11-17;38586000;39091000;39223000;38586000;33910
2011-11-18;37962000;38314000;38345000;37746000;34400
2011-11-21;37914000;38040000;38271000;37792000;21210
2011-11-22;38176000;37746000;38262000;37593000;32280
2011-11-23;38857000;38515000;38857000;38484000;33120
2011-11-24;38178000;38726000;38929000;38178000;29220
2011-11-25;38335000;38178000;38374000;37938000;27350
2011-11-28;38331000;38604000;38898000;38305000;32650
2011-11-29;38290000;38578000;38655000;38290000;34800
2011-11-30;38069000;38188000;38262000;37878000;26230
2011-12-01;38010000;38047000;38287000;37703000;21230
2011-12-02;38388000;38092000;38388000;38036000;25130
2011-12-05;39119000;38582000;39171000;38582000;34960
2011-12-06;39020000;39392000;39629000;39020000;37930
2011-12-07;38721000;38915000;38969000;38671000;30860
2011-12-08;38163000;38702000;38835000;38163000;41700
2011-12-09;37716000;38128000;38213000;37567000;31760
2011-12-12;37530000;37697000;37882000;37389000;37720
2011-12-13;37175000;37411000;37717000;37175000;34640
2011-12-14;36755000;37175000;37442000;36664000;58150
2011-12-15;36448000;36414000;36509000;36016000;40490
2011-12-16;36603000;36437000;36965000;36380000;65300
2011-12-19;36740000;36571000;36795000;36473000;37320
2011-12-20;36567000;36550000;36909000;36322000;46460
2011-12-21;36772000;36800000;36948000;36696000;47250
2011-12-22;36037000;36668000;36678000;35912000;46130
2011-12-23;35621000;35248000;35697000;35221000;29080
2011-12-26;35268000;35615000;35615000;34970000;42840
2011-12-27;34780000;34842000;34883000;34648000;57460
2011-12-28;35066000;34759000;35134000;34717000;57720
2011-12-29;35051000;34906000;35051000;34739000;48340
2011-12-30;35155000;35183000;35246000;34830000;56180
2012-01-03;35000000;35137000;35402000;34931000;20640
2012-01-04;34884000;34922000;34992000;34824000;25450
2012-01-05;34094000;34642000;34713000;34094000;20630
2012-01-06;33673000;34019000;34019000;33649000;29080
2012-01-09;33932000;33493000;33932000;33228000;171190
2012-01-10;34468000;33684000;34525000;33684000;36560
2012-01-11;34743000;34798000;34945000;34671000;29080
2012-01-12;34811000;34778000;34944000;34722000;24420
2012-01-13;35433000;34931000;35433000;34931000;22040
2012-01-16;35787000;35677000;36029000;35597000;29380
2012-01-17;35886000;35752000;36350000;35710000;23730
2012-01-18;36266000;36081000;36330000;36047000;18120
2012-01-19;37343000;36315000;37343000;36304000;23020
2012-01-20;37300000;37807000;37807000;37300000;29580
2012-01-30;38494000;37510000;38494000;37310000;21570
2012-01-31;38797000;39043000;39392000;38797000;39040
2012-02-01;39067000;38870000;39067000;38305000;39220
2012-02-02;40161000;39389000;40161000;39382000;43990
2012-02-03;40174000;40895000;41138000;40174000;68550
2012-02-06;39973000;40236000;40238000;39491000;32930
2012-02-07;40108000;40043000;40250000;39602000;37020
2012-02-08;40953000;40374000;40974000;40151000;44600
2012-02-09;41139000;41298000;41460000;40918000;51510
2012-02-10;40502000;41011000;41011000;40349000;49900
2012-02-13;39554000;40237000;40237000;39554000;34550
2012-02-14;40026000;39108000;40026000;39108000;36460
2012-02-15;39741000;39861000;40066000;39438000;45760
2012-02-16;39651000;39520000;39844000;39366000;34860
2012-02-17;40330000;39798000;40330000;39798000;40790
2012-02-20;41398000;40983000;41450000;40898000;48960
2012-02-21;41091000;42181000;42219000;41032000;59090
2012-02-22;41841000;41063000;41841000;41063000;54900
2012-02-23;42389000;41949000;42389000;41645000;67370
2012-02-24;42343000;42710000;42942000;42343000;78560
2012-02-27;42841000;42603000;43075000;42566000;65370
2012-02-28;42222000;42926000;43111000;42165000;121720
2012-02-29;42364000;42002000;42364000;41801000;125980
2012-03-01;42795000;42648000;42795000;42265000;89540
2012-03-02;43960000;43232000;43960000;43179000;81700
2012-03-05;45721000;44866000;45980000;44866000;103340
2012-03-06;44500000;46563000;46815000;44499000;154490
2012-03-07;44402000;44274000;44425000;43369000;101250
2012-03-08;43166000;43644000;44350000;43166000;90580
2012-03-09;43211000;42920000;43527000;42443000;78990
2012-03-12;42802000;42983000;43261000;42343000;74780
2012-03-13;42939000;42973000;43366000;42776000;62960
2012-03-14;43386000;43573000;43723000;42922000;64090
2012-03-15;44185000;43347000;44255000;43039000;105700
2012-03-16;43852000;44966000;45032000;43852000;113650
2012-03-19;43807000;43582000;44092000;43360000;58560
2012-03-20;44029000;43520000;44173000;43520000;62750
2012-03-21;44577000;44343000;45025000;44313000;98380
2012-03-22;44567000;44277000;44892000;44244000;81610
2012-03-23;45410000;44893000;45516000;44885000;88120
2012-03-26;45926000;45821000;45926000;45146000;93970
2012-03-27;44592000;45755000;45755000;44592000;120880
2012-03-28;44632000;44320000;44714000;43705000;82030
2012-03-29;43963000;44901000;44901000;43947000;74520
2012-03-30;44103000;44257000;44374000;43762000;67120
2012-04-03;44577000;44095000;44614000;44023000;59850
2012-04-04;43977000;44602000;44702000;43927000;50710
2012-04-05;44493000;43900000;44580000;43667000;61590
2012-04-06;44744000;44708000;45023000;44587000;91170
2012-04-09;45073000;45055000;45206000;44817000;66300
2012-04-10;45085000;45101000;45586000;44891000;87740
2012-04-11;45874000;45756000;45874000;45269000;99440
2012-04-12;46526000;46222000;46814000;46079000;106540
2012-04-13;46252000;46748000;46838000;46252000;122020
2012-04-16;46826000;46506000;47073000;46176000;89700
2012-04-17;47284000;47154000;47492000;46758000;118090
2012-04-18;47216000;47510000;47887000;47136000;143500
2012-04-19;46708000;47081000;47331000;46529000;144510
2012-04-20;46572000;46708000;47050000;46291000;106580
2012-04-23;46517000;46680000;46920000;46461000;66380
2012-04-24;46565000;46567000;46623000;46060000;88340
2012-04-25;47287000;47139000;47322000;46889000;88090
2012-04-26;47021000;47282000;47544000;47021000;96330
2012-04-27;47377000;47343000;47522000;47043000;86180
2012-05-02;47246000;47602000;47844000;47107000;118280
2012-05-03;46880000;47054000;47307000;46500000;103900
2012-05-04;47632000;47053000;47772000;47053000;108080
2012-05-07;48631000;48195000;48631000;48105000;100550
2012-05-08;48807000;48860000;49244000;48625000;133180
2012-05-09;48762000;48819000;49049000;48533000;113920
2012-05-10;48607000;49003000;49135000;48268000;134650
2012-05-11;48010000;48768000;48813000;47987000;114300
2012-05-14;46969000;47773000;48315000;46969000;110420
2012-05-15;45565000;46297000;46763000;45547000;97220
2012-05-16;44991000;45575000;45857000;44638000;86460
2012-05-17;44258000;44977000;45372000;44258000;77750
2012-05-18;43495000;43969000;44024000;43029000;80360
2012-05-21;44802000;43853000;44819000;43772000;77330
2012-05-22;44794000;45132000;45370000;44684000;84440
2012-05-23;43675000;44360000;44620000;43675000;66020
2012-05-24;42692000;43139000;43559000;42565000;58040
2012-05-25;43738000;43262000;43842000;43101000;77820
2012-05-28;43548000;44324000;44324000;43342000;66810
2012-05-29;43144000;43175000;43291000;42911000;47680
2012-05-30;43534000;43329000;43731000;43239000;49050
2012-05-31;42920000;43184000;43394000;42852000;48180
2012-06-01;42880000;43075000;43227000;42798000;72180
2012-06-04;41665000;42691000;42758000;41665000;143320
2012-06-05;42102000;41396000;42102000;41358000;101790
2012-06-06;42639000;42109000;42717000;42081000;91500
2012-06-07;43441000;43114000;43668000;42861000;71300
2012-06-08;43290000;43902000;44146000;43290000;82630
2012-06-11;43250000;43215000;43586000;43028000;68130
2012-06-12;42816000;43289000;43289000;42804000;57130
2012-06-13;42761000;42973000;42973000;42486000;84090
2012-06-14;42528000;42574000;42859000;42405000;46930
2012-06-15;43309000;42562000;43309000;42562000;72650
2012-06-18;43559000;43689000;43929000;43375000;59250
2012-06-19;43108000;43404000;43511000;43023000;68590
2012-06-20;43289000;43180000;43416000;42920000;34000
2012-06-21;43114000;43227000;43349000;43083000;43840
2012-06-22;42717000;42995000;43019000;42650000;51730
2012-06-25;42412000;42654000;42981000;42295000;62790
2012-06-26;41919000;42117000;42176000;41792000;50520
2012-06-27;41804000;41978000;42217000;41800000;43900
2012-06-28;41816000;41804000;41878000;41534000;42930
2012-06-29;42237000;42076000;42237000;41849000;55760
2012-07-02;41930000;42194000;42495000;41818000;38610
2012-07-03;41309000;41647000;41721000;41186000;43270
2012-07-04;41073000;41341000;41603000;41073000;27630
2012-07-05;41383000;41085000;41383000;40843000;31520
2012-07-06;41544000;41401000;41797000;41353000;43330
2012-07-09;40812000;41359000;41439000;40751000;31970
2012-07-10;40539000;40640000;40986000;40539000;28740
2012-07-11;40728000;40529000;40821000;40507000;22770
2012-07-12;40872000;40650000;40970000;40618000;43560
2012-07-13;41698000;40985000;41698000;40985000;55750
2012-07-16;41398000;41754000;41878000;41328000;41740
2012-07-17;41755000;41172000;41850000;41172000;48140
2012-07-18;41883000;41819000;41991000;41610000;49400
2012-07-19;42838000;41777000;42838000;41777000;84900
2012-07-20;42447000;43210000;43246000;42447000;72950
2012-07-23;42199000;42331000;42613000;42142000;50660
2012-07-24;41563000;42019000;42062000;41460000;44840
2012-07-25;41291000;41294000;41571000;41256000;43520
2012-07-26;41480000;41378000;41663000;41289000;30780
2012-07-27;41316000;41643000;41768000;41247000;38350
2012-07-30;41500000;41057000;41531000;41008000;26690
2012-07-31;41448000;41570000;41657000;41419000;25400
2012-08-01;41255000;41373000;41399000;41054000;27620
2012-08-02;41610000;41423000;41796000;41423000;21900
2012-08-03;41821000;41763000;41926000;41709000;24180
2012-08-06;42316000;41929000;42377000;41929000;44570
2012-08-07;42250000;42372000;42546000;42244000;33160
2012-08-08;42357000;42274000;42452000;42131000;23800
2012-08-09;42698000;42443000;42821000;42443000;43060
2012-08-10;42556000;42749000;42793000;42506000;37450
2012-08-13;42617000;42379000;42638000;42344000;29840
2012-08-14;42947000;42579000;43089000;42579000;50530
2012-08-15;43077000;42996000;43244000;42996000;39640
2012-08-16;43083000;43077000;43363000;42943000;26760
2012-08-17;43345000;43083000;43472000;43083000;37820
2012-08-20;43728000;43533000;43761000;43492000;41500
2012-08-21;41684000;43079000;43079000;41623000;70060
2012-08-22;41023000;40422000;41342000;40417000;74160
2012-08-23;39282000;40003000;40007000;39154000;38830
2012-08-24;39972000;37945000;40222000;37817000;94640
2012-08-27;38619000;39537000;39561000;38505000;42330
2012-08-28;38578000;38106000;38605000;37961000;41230
2012-08-29;39306000;38985000;39404000;38985000;41600
2012-08-30;39725000;39490000;39944000;39337000;39040
2012-08-31;39602000;39688000;39819000;39429000;33350
2012-09-04;40208000;39737000;40325000;39737000;29640
2012-09-05;39892000;40256000;40487000;39631000;45710
2012-09-06;39341000;39641000;39877000;39341000;33450
2012-09-07;39751000;39525000;39751000;39256000;33470
2012-09-10;38888000;39572000;39627000;38619000;48790
2012-09-11;38662000;38387000;38802000;38387000;35750
2012-09-12;38835000;38703000;39030000;38703000;32620
2012-09-13;39136000;38855000;39136000;38768000;37260
2012-09-14;39887000;39813000;40009000;39514000;46500
2012-09-17;40175000;40055000;40527000;40007000;38890
2012-09-18;39451000;40348000;40505000;39298000;41840
2012-09-19;39455000;39105000;39617000;39089000;44840
2012-09-20;38928000;39305000;39342000;38590000;58640
2012-09-21;39548000;39100000;39555000;39100000;101290
2012-09-24;39037000;39216000;39454000;39008000;27740
2012-09-25;39177000;39117000;39406000;39014000;23940
2012-09-26;39512000;39251000;39786000;39251000;23830
2012-09-27;39334000;39566000;39667000;39134000;28630
2012-09-28;39257000;39211000;39391000;39099000;37100
2012-10-01;38655000;39174000;39186000;38642000;29920
2012-10-02;38432000;38678000;38762000;38420000;26080
2012-10-03;38537000;38561000;38760000;38307000;36720
2012-10-04;38451000;38568000;38666000;38362000;25980
2012-10-05;38816000;38478000;38816000;38465000;27640
2012-10-08;39345000;38783000;39345000;38783000;35590
2012-10-09;39367000;39436000;39487000;39226000;38750
2012-10-10;39466000;39238000;39466000;39175000;37970
