Date;Open;High;Low;Price;Vol.
2017-05-07;775.85;778.32;773.81;778.32;216.49K
2017-06-07;780.5;782.77;779.99;782.65;238.45K
2017-07-07;783.73;783.81;775.73;775.73;261.56K
2017-10-07;775.85;775.85;764.43;766.56;217.18K
2017-11-07;766.56;769.36;761.57;769.36;225.54K
2017-12-07;772.6;775.08;769.83;774.17;176.53K
7/13/2017;777.12;778.3;773.85;778.3;200.64K
7/14/2017;779.72;780.65;776.88;777.6;209.25K
7/17/2017;777.7;778.3;766.47;768.91;254.75K
7/18/2017;766.88;770.37;762.68;767.49;237.79K
7/19/2017;771.33;774.12;770.18;771.3;236.85K
7/20/2017;768.56;768.56;763.55;768.41;183.49K
7/21/2017;768.9;770.43;761.86;761.86;179.98K
7/24/2017;759.97;761.64;753.82;759.74;158.87K
7/25/2017;757.43;767.27;757.35;767.27;180.74K
7/26/2017;769.35;773.88;764.92;773.88;208.32K
7/27/2017;773.21;774.97;770.3;771.5;202.37K
7/28/2017;771.21;777.09;770.82;777.09;199.88K
7/31/2017;777.54;783.58;776.72;783.55;267.11K
2017-01-08;784.44;787.68;784.15;786.81;206.36K
2017-02-08;783.45;788.97;779.81;786.23;218.99K
2017-03-08;786.23;790.82;786.19;788.49;208.92K
2017-04-08;789.46;790.12;786.09;788.68;202.95K
2017-07-08;789.41;796.09;788.66;792.98;222.64K
2017-08-08;795.8;796.62;789.84;791.57;228.90K
2017-09-08;789.15;789.15;773.66;773.66;307.86K
2017-10-08;769.58;776.77;769.58;773.43;190.13K
2017-11-08;773.43;774.31;769.14;772.08;169.87K
8/14/2017;770.65;776.42;770.65;776.17;185.52K
8/15/2017;776.64;776.83;770.09;771.06;152.54K
8/16/2017;771.1;773.57;766.8;773.57;169.79K
8/17/2017;773.48;774.47;767.59;767.59;238.33K
8/18/2017;762.82;770.79;762.46;768.97;196.32K
8/21/2017;767.42;769.71;765.95;768.79;169.70K
8/22/2017;768.2;768.44;760.3;761.26;154.11K
8/23/2017;762.42;765.98;759.01;765.98;158.56K
8/24/2017;766.48;771.65;764.64;769.77;219.61K
8/25/2017;769.07;771.63;768.57;771.63;225.18K
8/28/2017;771.81;777.26;770.51;777.26;258.57K
8/29/2017;773.91;777.11;773.87;774.03;264.85K
8/30/2017;774.31;778.65;773.85;778.65;203.15K
8/31/2017;779.19;785.78;778.19;782.76;211.65K
2017-01-09;784.42;789.19;784.18;788.73;146.63K
2017-05-09;790.26;794.46;787.8;792.31;165.41K
2017-06-09;792.16;793.82;788.89;793.55;155.71K
2017-07-09;793.61;798.58;792.77;796.72;154.51K
2017-08-09;797.98;802.9;797.82;801.2;132.50K
2017-11-09;801.2;805.44;797.47;797.47;155.94K
2017-12-09;795.53;801.01;794.88;799.94;153.20K
9/13/2017;802.85;804.38;800.39;802.78;150.28K
9/14/2017;803.34;807.29;803.23;806.32;162.90K
9/15/2017;803.35;805.82;802.08;805.82;163.95K
9/18/2017;808.51;809.39;805.37;807.87;173.96K
9/19/2017;807.41;810.13;805.87;805.93;172.85K
9/20/2017;806.88;807.51;803.33;805.86;150.76K
9/21/2017;805.29;806.52;802.6;803.93;138.75K
9/22/2017;805.15;808.16;803.94;807.13;176.70K
9/25/2017;806.9;807.64;802.23;805.58;149.15K
9/26/2017;806.4;806.84;801.66;805.35;171.21K
9/27/2017;803.32;805.04;801.74;803.77;157.40K
9/28/2017;803.1;810.35;803.1;804.82;192.67K
9/29/2017;805.07;808.77;804.42;804.42;139.48K
2017-02-10;805.29;808.09;801.7;802.23;119.50K
2017-03-10;803.98;804.39;795.05;798;162.27K
2017-04-10;797.39;805.66;797;805.66;118.42K
2017-05-10;806.56;810.54;805.22;805.23;148.46K
2017-06-10;805.7;808.13;803.81;807.8;132.95K
2017-09-10;809.61;810.75;806.78;808.96;167.58K
2017-10-10;808.43;810.65;806.3;810.65;144.21K
2017-11-10;811.2;815.11;811.2;813.95;180.70K
2017-12-10;814.43;818.44;813.72;815.87;149.20K
10/13/2017;814.6;820.95;814.2;820.95;154.13K
10/16/2017;821.54;823.85;819.43;819.43;168.99K
10/17/2017;819.51;828.29;819.43;828.29;177.22K
10/18/2017;829.43;831.15;826.72;827.72;198.94K
10/19/2017;828.89;831.61;825.5;828.93;169.35K
10/20/2017;827.93;833.57;826.84;826.84;196.37K
10/23/2017;826.25;827.24;818.81;820.04;210.65K
10/24/2017;818.08;825.24;814.92;825.24;180.44K
10/25/2017;826.08;830.69;822.83;830.69;160.17K
10/26/2017;829.94;834.67;823.92;830.11;187.41K
10/27/2017;829.15;840.37;828.45;840.37;143.37K
10/30/2017;842.92;849.3;842.92;845.2;197.30K
10/31/2017;844.27;845.93;837.28;837.28;192.06K
2017-01-11;838.75;842.88;838.01;842.71;172.22K
2017-02-11;842.19;849.53;833.09;833.09;192.77K
2017-03-11;833.16;843.73;831.58;843.73;203.25K
2017-06-11;846.12;849.09;843.76;849.09;172.30K
2017-07-11;850.2;854.6;847.88;850.33;584.72K
2017-08-11;853.15;863.07;852.32;859.7;171.68K
2017-09-11;862.38;864.2;858.16;860.4;164.44K
2017-10-11;859.91;869.37;859.24;868.21;189.39K
11/13/2017;871.7;879.34;871.7;879.34;283.76K
11/14/2017;881.15;884.14;874.74;880.9;221.73K
11/15/2017;877.65;884.83;876.6;882.59;200.08K
11/16/2017;880.17;892.8;880.17;892.8;206.50K
11/17/2017;893.99;898.11;886.86;890.69;188.54K
11/20/2017;890.34;903.55;889.55;903.55;175.97K
11/21/2017;907.51;929.89;907.51;918.3;230.29K
11/22/2017;921.13;932.66;921.13;932.66;210.14K
11/23/2017;938.31;943.15;927;933.7;223.22K
11/24/2017;930.52;937.54;924.65;935.57;225.73K
11/27/2017;933.38;947.06;931.29;938.61;252.36K
11/28/2017;939.1;943.45;933.59;941.21;359.52K
11/29/2017;943.46;952.14;940.4;952.14;229.83K
11/30/2017;956.17;960.11;949.93;949.93;249.61K
